"uscode","naics","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","------",,112400654,986271261,3943179606,7200770,,6646609,46388484,242168176,3900755,,9165376,61857221,260393503,1384960,,12304168,86983764,363821703,912797,,18859002,138808349,573171233,624628,,14476290,116378658,468224208,210577,,17780466,158517169,623762314,118724,,10320756,103232441,397571288,30220,,7742617,87952386,329118338,11377,,15105370,186152789,684948843,6732
"98","11----",,181162,1135049,4978291,26552,,27164,142752,778949,17735,,30445,177127,768604,4641,,33311,218889,926614,2507,"D",0,0,0,1219,"D",0,0,0,289,"D",0,0,0,126,,9018,58702,239376,26,"D",0,0,0,7,"D",0,0,0,2
"98","113///",,75822,514116,2207048,12509,,13138,68692,350650,7697,,17748,106043,437535,2693,,19058,130298,534737,1442,,15973,118095,501611,573,"D",0,0,0,81,"D",0,0,0,18,"D",0,0,0,5,,0,0,0,0,,0,0,0,0
"98","1131//",,4203,40983,158214,680,"D",0,0,0,451,,821,6756,27367,125,,784,8560,31759,58,,1077,12131,44918,38,"D",0,0,0,6,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","11311/",,4203,40983,158214,680,"D",0,0,0,451,,821,6756,27367,125,,784,8560,31759,58,,1077,12131,44918,38,"D",0,0,0,6,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","113110",,4203,40983,158214,680,"D",0,0,0,451,,821,6756,27367,125,,784,8560,31759,58,,1077,12131,44918,38,"D",0,0,0,6,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1132//",,2657,21210,75806,352,"D",0,0,0,216,,446,4046,14634,67,,533,6300,20658,39,,582,4344,16757,21,,497,2857,8762,7,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","11321/",,2657,21210,75806,352,"D",0,0,0,216,,446,4046,14634,67,,533,6300,20658,39,,582,4344,16757,21,,497,2857,8762,7,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","113210",,2657,21210,75806,352,"D",0,0,0,216,,446,4046,14634,67,,533,6300,20658,39,,582,4344,16757,21,,497,2857,8762,7,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1133//",,68962,451923,1973028,11477,,12105,61228,317738,7030,,16481,95241,395534,2501,,17741,115438,482320,1345,,14314,101620,439936,514,"D",0,0,0,68,"D",0,0,0,14,"D",0,0,0,5,,0,0,0,0,,0,0,0,0
