"fipstate","naics","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000","censtate"
"72","------",,761672,3816740,15863227,46853,,47578,181209,906672,26589,,54929,224327,930599,8353,,71910,296016,1219691,5346,,118358,481678,2034753,3903,,98192,452677,1893242,1438,,122403,616954,2553114,801,,90068,505905,2057729,261,,81666,498784,2028016,119,,76568,559190,2239411,43,"06"
"72","11----",,42,94,514,17,"D",0,0,0,14,"D",0,0,0,2,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","113///",,3,7,34,3,,3,7,34,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","1133//",,3,7,34,3,,3,7,34,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","11331/",,3,7,34,3,,3,7,34,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","113310",,3,7,34,3,,3,7,34,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","115///",,39,87,480,14,"D",0,0,0,11,"D",0,0,0,2,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","1151//",,9,22,189,5,,9,22,189,5,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","11511/",,9,22,189,5,,9,22,189,5,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","115112","A",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
